file,class,method,variable,usage
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,run/1[com.github.unidbg.AbstractEmulator<?>],action,2
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,toThreadString/0,signum,1
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,toThreadString/0,action,1
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,"SignalFunction/3[com.github.unidbg.Emulator<?>,int,com.github.unidbg.linux.signal.SigAction]",signum,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,"SignalFunction/3[com.github.unidbg.Emulator<?>,int,com.github.unidbg.linux.signal.SigAction]",action,3
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\signal\SignalFunction.java,com.github.unidbg.linux.signal.SignalFunction,destroy/1[com.github.unidbg.Emulator<?>],infoBlock,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\arm\context\BackendArm32RegisterContext.java,com.github.unidbg.arm.context.BackendArm32RegisterContext,reg/1[int],backend,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\arm\context\BackendArm32RegisterContext.java,com.github.unidbg.arm.context.BackendArm32RegisterContext,"BackendArm32RegisterContext/2[com.github.unidbg.arm.backend.Backend,com.github.unidbg.Emulator<?>]",backend,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\arm\context\BackendArm32RegisterContext.java,com.github.unidbg.arm.context.BackendArm32RegisterContext,"set/2[int,int]",backend,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\arm\context\BackendArm32RegisterContext.java,com.github.unidbg.arm.context.BackendArm32RegisterContext,setStackPointer/1[com.github.unidbg.arm.context.Pointer],backend,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"share/2[long,long]",emulator,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"share/2[long,long]",size,5
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"share/2[long,long]",peer,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"share/2[long,long]",pointerSize,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"pointer/2[com.github.unidbg.pointer.Emulator<?>,long]",emulator,4
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,setSize/1[long],size,5
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"setPointer/2[long,com.github.unidbg.pointer.Pointer]",peer,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"setPointer/2[long,com.github.unidbg.pointer.Pointer]",pointerSize,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"getString/2[long,java.lang.String]",size,5
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"getString/2[long,java.lang.String]",log,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"getString/2[long,java.lang.String]",peer,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"getString/2[long,java.lang.String]",backend,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,getSize/0,size,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"UnidbgPointer/3[com.github.unidbg.pointer.Emulator<?>,long,int]",emulator,6
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"UnidbgPointer/3[com.github.unidbg.pointer.Emulator<?>,long,int]",peer,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"UnidbgPointer/3[com.github.unidbg.pointer.Emulator<?>,long,int]",listener,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"UnidbgPointer/3[com.github.unidbg.pointer.Emulator<?>,long,int]",backend,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"UnidbgPointer/3[com.github.unidbg.pointer.Emulator<?>,long,int]",pointerSize,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,"pointer/2[com.github.unidbg.pointer.Emulator<?>,java.lang.Number]",emulator,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,toUIntPeer/0,peer,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\pointer\UnidbgPointer.java,com.github.unidbg.pointer.UnidbgPointer,allocateBuffer/1[int],size,2
