file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRefIdRequest.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRefIdRequest,class,0,0,0,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,12,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-workspace-server\src\main\java\com\webank\wedatasphere\dss\framework\workspace\aop\DSSPrivCheckerAspect.java,com.webank.wedatasphere.dss.framework.workspace.aop.DSSPrivCheckerAspect,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\DataSphereStudio-master\dss-standard\dss-standard-common\src\main\java\com\webank\wedatasphere\dss\standard\common\entity\ref\ResponseRefBuilder.java,com.webank.wedatasphere.dss.standard.common.entity.ref.ResponseRefBuilder$ExternalResponseRefBuilder,innerclass,5,5,0,5,16,1,0,6,0,0.5277778,0.5277778,0.7777778,9,0,8,0,1,0,9,0,0,0,4,0,0,0,4,0,0,0,0,58,9,0,6,0,0,2,4,13,0,4,1,0,0,0,20,0,0
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-api-sql-template\src\main\java\com\webank\wedatasphere\dss\orange\node\SetSqlNode.java,com.webank.wedatasphere.dss.orange.node.SetSqlNode,class,2,3,1,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-project-server\src\main\java\com\webank\wedatasphere\dss\framework\project\entity\vo\QueryProjectVo.java,com.webank.wedatasphere.dss.framework.project.entity.vo.QueryProjectVo,class,0,2,2,0,30,1,0,0,405,0.93750006,0.03448276,0.03448276,30,0,30,0,0,0,30,0,0,0,16,1,0,16,0,0,1,0,0,108,15,0,0,0,0,0,1,16,0,16,0,0,0,0,51,1,0
C:\DataSphereStudio-master\dss-apps\dss-user-guide\dss-user-guide-server\src\main\java\com\webank\wedatasphere\dss\guide\server\util\ShellUtils.java,com.webank.wedatasphere.dss.guide.server.util.ShellUtils,class,2,3,1,2,7,1,0,9,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,38,1,1,3,2,1,8,2,11,7,8,2,0,0,0,28,1,7
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-conversion-standard\src\main\java\com\webank\wedatasphere\dss\workflow\conversion\WorkflowConversionIntegrationStandard.java,com.webank.wedatasphere.dss.workflow.conversion.WorkflowConversionIntegrationStandard,class,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\DataSphereStudio-master\plugins\dolphinscheduler\dolphinscheduler-prod-metrics\src\main\java\org\apache\dolphinscheduler\dao\mapper\ProcessInstanceMetricsMapper.java,org.apache.dolphinscheduler.dao.mapper.ProcessInstanceMetricsMapper,interface,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,1,0
C:\DataSphereStudio-master\dss-apps\dss-user-guide\dss-user-guide-server\src\main\java\com\webank\wedatasphere\dss\guide\server\dao\GuideCatalogMapper.java,com.webank.wedatasphere.dss.guide.server.dao.GuideCatalogMapper,interface,6,7,1,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,43,1,0
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-api-sql-template\src\main\java\com\webank\wedatasphere\dss\orange\node\ForeachSqlNode.java,com.webank.wedatasphere.dss.orange.node.ForeachSqlNode,class,6,8,2,6,9,1,0,14,0,0.375,1.0,1.0,4,0,4,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,4,66,1,2,1,0,1,8,2,19,2,19,2,1,0,0,38,1,0
