file,class,method,variable,usage
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,getAppConnName/0,appConnName,1
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setDssLabels/1[java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>],dssLabels,3
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setAppInstanceProjectId/1[java.lang.Long],appInstanceProjectId,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",apiServiceVersionDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,queryApiVersionById/1[java.lang.Long],apiServiceVersionDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",LOG,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiService,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiServiceAccessDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiServiceDao,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",runJobs,1
