file,class,method,variable,usage
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",ujesClient,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",path,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",loginUser,4
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",sourceStr,8
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",apiAccessVo,8
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",s,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",executeCode,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",linkisExecuteResult,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",v,4
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",variable,2
